,I_D,FLAG_TSUNAMI,YEAR,MONTH,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,avg_density,dst_avg_density,sum_density,density_deviation,max_density,HDI,HDI_pop_wgt,max_HDI,dist_to_closest_pop,pop_dist_deviation,avg_pop_distance,eq_mag_unlogged
1053,7675,Yes,2007,11.0,156.0,7.4,7.4,0.0,6.9,0.0,0.0,0.0,0.0,MARTINIQUE,14.944,-61.274,90.0,1,28508.902,23416.391428178482,1767552.0,46857.981800517584,221574.8,0.8018559,0.8275243,0.897,0.16420109622455997,0.9308460662028053,1.815341013299042,25118864.315095823
1054,7694,Yes,2007,12.0,153.0,7.8,7.8,0.0,7.0,0.0,0.0,0.0,0.0,KERMADEC ISLANDS (NEW ZEALAND),-25.996,-177.514,170.0,0,1667.0033,1520.7248074996103,166700.33,6244.396243886518,56258.87,0.72783,0.72016686,0.736,3.878267912358833,2.181938730494015,8.470370354517142,63095734.448019296
1055,7695,No,2007,9.0,31.0,6.8,6.8,6.7,6.1,0.0,0.0,0.0,0.0,COLOMBIA,2.982,-77.967,160.0,0,56495.27,67470.49065629943,5649527.0,197001.75039001205,1906990.6,0.727,0.727,0.727,0.14111342955200096,0.45093220763308506,1.1975460503385993,6309573.44480193
1056,7696,No,2007,10.0,26.0,6.8,6.8,6.8,6.0,0.0,0.0,0.0,0.0,NEW ZEALAND,-44.785,167.583,170.0,0,1557.5989,1934.148584742421,155759.89,6025.429394330169,56807.625,0.915,0.9150001,0.915,0.099317672150316,0.5192721805461379,1.2989483586796096,6309573.44480193
1057,7697,No,2007,10.0,10.0,4.8,0.0,4.8,5.3,0.0,0.0,0.0,0.0,PAKISTAN,35.304,76.753,60.0,1,5123.402,5236.131343303204,225429.69,5150.372999936662,15284.4,0.6377742,0.5931289,0.738,0.14115594215328656,0.24346501162236253,0.6485362169894427,63095.7344480193
1058,7698,No,2007,10.0,10.0,5.6,5.6,5.1,5.3,0.0,0.0,0.0,0.0,USA,37.434,-121.774,150.0,0,120723.1,90060.13569730609,12072310.0,215950.20874569897,1120503.0,0.9511953,0.95119536,0.9511953,0.11697008163747256,0.3836832794666792,0.9980637603137869,398107.1705534969
1059,7699,No,2007,11.0,10.0,5.1,5.1,0.0,5.0,0.0,0.0,0.0,0.0,INDIA,21.181,70.724,60.0,1,177369.55,175254.081048905,7272151.5,111641.39919774483,662508.3,0.7080705,0.71043223,0.7147077,0.11374093368705854,0.23959706528105515,0.6242585231450659,125892.54117941661
1060,7700,No,2007,11.0,72.0,5.1,0.0,0.0,5.1,0.0,0.0,0.0,0.0,PHILIPPINES,9.721,124.647,170.0,1,93056.05,97239.47479074089,3536129.8,78537.39018505982,286279.9,0.6147799,0.62148845,0.7466452,0.0984885780073346,0.23764441004393447,0.6852972841663506,125892.54117941661
1061,7701,No,2007,11.0,29.0,5.1,0.0,5.1,5.1,0.0,0.0,0.0,0.0,BANGLADESH,22.15,92.388,60.0,0,279473.0,257890.04239575783,12296813.0,644161.1816158884,4131092.5,0.5829545,0.579989,0.624,0.028178005592729715,0.23395957796904668,0.6308227200683868,125892.54117941661
1062,7702,No,2007,11.0,123.0,6.8,6.8,0.0,6.3,0.0,0.0,0.0,0.0,ECUADOR,-2.312,-77.838,160.0,0,22811.54,27090.277216945575,2281154.0,61345.60679410954,383923.5,0.73919004,0.7390149,0.74,0.07306161782224493,0.33377229031412325,0.9399245169885352,6309573.44480193
1063,7703,No,2007,11.0,7.0,4.8,0.0,0.0,4.8,4.9,0.0,0.0,0.0,IRAN,31.68,49.93,140.0,0,32507.346,34028.23711825839,1690382.0,23625.467106783883,151090.72,0.774,0.7740001,0.774,0.07778174591451242,0.24176554289436292,0.6777170463537933,63095.7344480193
1064,7704,No,2007,11.0,10.0,4.7,0.0,0.0,4.7,0.0,0.0,0.0,0.0,INDIA,28.555,77.057,60.0,0,1096814.6,781547.9091143092,57034360.0,1619382.9547361883,8938126.0,0.6559936,0.6903086,1.0,0.09759098320705016,0.24093260527867139,0.6775915133395678,50118.72336272725
1065,7708,No,2007,12.0,10.0,4.6,0.0,0.0,4.6,0.0,0.0,0.0,0.0,BRAZIL,-15.048,-44.231,160.0,1,6925.5386,6035.845263780171,353202.47,8252.560270819533,47595.08,0.7470891,0.7534642,0.7601176,0.13101526629028495,0.23738522114489183,0.6706570942156064,39810.71705534969
1066,7709,No,1990,3.0,33.0,7.6,7.6,7.4,6.3,0.0,0.0,0.0,0.0,FIJI,-22.122,175.163,170.0,0,9135.989,8522.917507744387,913598.94,26424.279091896922,213908.22,0.70542,0.7304254,0.736,3.0485165244525176,0.8857662743587861,5.759234925425028,39810717.05534969
1067,7723,No,2007,12.0,25.0,5.9,5.9,5.7,5.5,6.0,0.0,0.0,0.0,CHILE,-32.689,-71.695,160.0,0,105935.02,99295.6215163581,10593502.0,355974.65925351536,2506817.5,0.8451085,0.87851244,0.8919913,0.09484724561867278,0.4483283816114228,1.2902665017854085,794328.2347242822
1068,7724,No,2007,12.0,20.0,6.6,6.6,6.5,6.3,6.9,0.0,0.0,7.0,NEW ZEALAND,-39.011,178.291,170.0,1,5603.5127,6705.354985902296,560351.25,17701.493037853852,118973.61,0.915,0.915,0.915,0.20137527154938317,0.6419512408369149,1.6301722664443092,3981071.7055349695
1069,7725,No,2007,12.0,10.0,5.7,5.7,5.6,5.2,5.7,0.0,0.0,0.0,TURKEY,39.417,33.212,140.0,0,72194.83,58382.899624930025,7219483.0,250044.9200920785,1734137.5,0.767,0.767,0.767,0.09660745311264848,0.33396591250792335,0.9403271247759386,501187.2336272725
1070,7726,No,2007,12.0,8.0,5.6,5.6,5.5,5.2,5.5,0.0,0.0,0.0,TURKEY,39.446,33.162,140.0,0,71720.96,54785.87946899898,7172096.0,250136.94477310457,1734137.5,0.767,0.7669999,0.767,0.08006247559126108,0.33380326344985733,0.9400370351728768,398107.1705534969
1071,7743,Yes,2008,2.0,25.0,6.5,6.5,6.6,6.4,0.0,0.0,0.0,0.0,INDONESIA,-2.486,99.972,60.0,0,43562.96,52509.31993927862,3572162.8,76924.03170928426,513896.94,0.7025202,0.70325214,0.7047703,0.14741099008471392,0.4988701114576442,1.3593500848716746,3162277.6601683795
1072,7745,No,2008,1.0,6.0,5.6,5.6,5.4,5.8,0.0,0.0,0.0,0.0,KYRGYZSTAN,40.288,72.985,40.0,0,72733.82,68301.18245555383,7273382.0,112436.13781278425,438694.75,0.6672525,0.68474627,0.7083121,0.1402462120624929,0.3352863757553002,0.9415605215657774,398107.1705534969
1073,7746,No,2008,1.0,66.0,5.6,5.6,0.0,5.4,0.0,0.0,0.0,0.0,GUATEMALA,14.129,-91.479,100.0,0,178956.75,163231.92105245776,17895674.0,249295.30742144422,2257999.2,0.648869,0.64499575,0.6868504,0.10407689465549724,0.5035001692644063,1.2560452634237873,398107.1705534969
1074,7747,No,2008,1.0,12.0,5.9,5.9,5.6,6.0,0.0,0.0,0.0,0.0,INDONESIA,-0.795,134.012,170.0,0,7262.7954,6554.581769937687,726279.56,8138.493310961173,43770.785,0.75849015,0.7542878,0.7955133,0.13845215781509038,0.4723593292825739,1.3021431938854717,794328.2347242822
1075,7748,No,2008,1.0,10.0,4.6,0.0,0.0,4.6,5.3,0.0,0.0,0.0,ALGERIA,35.616,-0.57,15.0,1,145617.83,110034.34275125091,5096624.0,220864.64915927761,1307035.9,0.745,0.74499995,0.745,0.055731499162289234,0.2584415451809626,0.622363717786453,39810.71705534969
1076,7749,No,2008,1.0,34.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,BANGLADESH,22.761,92.333,60.0,0,285385.44,293228.9077093241,13983887.0,618164.812234702,4131092.5,0.5982653,0.58343875,0.624,0.12149074040076734,0.23580447898516868,0.6592785155014891,100000.0
1077,7750,No,2008,1.0,20.0,6.1,6.1,0.0,5.9,0.0,0.0,0.0,0.0,INDONESIA,1.011,97.442,60.0,1,38455.184,39427.43237359343,2922594.0,38459.54874479329,157868.14,0.70052505,0.70061624,0.7047703,0.1322308587242233,0.5378966170955458,1.3651580889806965,1258925.411794166
1078,7764,No,2008,2.0,10.0,5.9,5.9,5.8,6.1,0.0,0.0,0.0,0.0,CONGO,-2.296,28.9,10.0,38,235134.42,232362.91070030344,23513442.0,268391.4700091469,1508527.6,0.44625,0.45446703,0.498,0.08286132993403131,0.3337858558470825,0.9400516647567005,794328.2347242822
1079,7765,No,2008,2.0,10.0,4.3,0.0,0.0,4.3,0.0,0.0,0.0,0.0,INDIA,23.433,87.111,60.0,1,643776.1,612708.1330070605,7081537.0,595510.7073494868,2377686.2,0.6529398,0.66112316,0.66724133,0.05966573555763159,0.12154275105074833,0.3118032008489888,19952.62314968879
1080,7766,No,2008,2.0,3.0,5.1,5.1,0.0,5.1,5.5,0.0,0.0,0.0,MEXICO,32.456,-115.315,150.0,0,34091.98,18580.051948315515,1704599.1,109040.6980146126,715240.94,0.8479074,0.81721824,0.9511953,0.10080178568967058,0.2413820150024935,0.6708658795741574,125892.54117941661
1081,7767,No,2008,2.0,14.0,4.9,0.0,4.9,4.5,4.2,0.0,0.0,0.0,IRAN,31.73,51.2,140.0,0,54988.184,61249.951588241405,2804397.5,69688.47563022246,420434.66,0.774,0.77399987,0.774,0.12903487899062988,0.23751769211944074,0.6707241813024495,79432.82347242821
1082,7768,No,2008,2.0,10.0,4.9,0.0,4.9,5.4,0.0,0.0,0.0,0.0,RWANDA,-2.404,28.918,10.0,1,240352.67,234864.5643082275,12017634.0,199662.71984785516,848739.06,0.44954,0.45834032,0.498,0.051865209911568004,0.2392878203708108,0.6651439785807841,79432.82347242821
1083,7769,No,2008,2.0,10.0,5.0,0.0,0.0,5.0,5.3,0.0,0.0,0.0,LEBANON,33.327,35.305,140.0,0,325501.9,332554.9402904627,10741563.0,377715.8374735682,2118085.8,0.7657879,0.7663423,0.899,0.08487638071162434,0.2562642737376259,0.6364139091573272,100000.0
1084,7800,Yes,2008,4.0,33.0,7.3,7.3,7.3,6.3,0.0,0.0,0.0,0.0,NEW CALEDONIA,-20.071,168.892,170.0,0,4853.356,5759.6248895542185,373708.4,14401.651903867849,75621.1,0.597,0.597,0.597,0.5031947933102151,0.8739552991496132,2.3330617731165253,19952623.149688788
1085,7802,Yes,1990,12.0,10.0,6.3,0.0,6.3,5.9,0.0,0.0,0.0,5.0,TAIWAN,23.722,121.627,30.0,0,276694.53,310868.6386122985,23242340.0,609092.1443954608,2858022.0,0.85670865,0.85609037,0.88213944,0.09702061635808477,0.455089787427276,1.1632151394016288,1995262.3149688789
1086,7803,Yes,2000,7.0,10.0,6.5,6.5,6.5,6.0,0.0,0.0,0.0,0.0,JAPAN,33.901,139.376,30.0,0,596177.06,753026.0734008767,34578268.0,1364165.97724904,8057306.0,0.9063047,0.9139533,0.9359721,0.22400223213963402,0.5033037536647186,1.3718621242332891,3162277.6601683795
1087,7823,No,2008,4.0,14.0,5.3,5.3,4.8,5.1,0.0,0.0,0.0,0.0,USA,38.452,-87.886,150.0,0,15730.779,15762.260476375897,786539.0,21883.781561224027,128713.7,0.92524093,0.916054,0.9502024,0.07778174592317531,0.23866358802296186,0.6655140103083574,199526.2314968879
1088,7843,Yes,2008,5.0,19.0,7.9,7.9,8.1,6.9,0.0,0.0,0.0,9.0,CHINA,31.002,103.322,30.0,87652,254110.81,239018.40015963744,25411080.0,691707.9049633659,6251379.5,0.7030024,0.70300233,0.7030024,0.13393281899464884,0.33409414109390617,0.9406143172622842,79432823.47242822
1089,7870,No,2008,2.0,26.0,7.4,7.4,7.5,6.5,0.0,0.0,0.0,0.0,INDONESIA,2.768,95.964,60.0,3,34151.887,40453.06601304496,3415188.8,33628.863995684194,147120.52,0.69988024,0.70002353,0.7007373,0.13917614737491213,0.5828910303374374,1.6664980246994179,25118864.315095823
1090,7871,No,2008,2.0,7.0,6.0,6.0,5.8,5.7,0.0,0.0,0.0,8.0,USA,41.153,-114.867,150.0,0,1016.21735,1237.2826194135775,101621.734,3970.699209413704,31164.264,0.90348655,0.89471674,0.92538,0.02912043954785145,0.35715508022321985,0.973634349324611,1000000.0
1091,7872,No,2008,2.0,18.0,4.8,0.0,0.0,4.8,5.3,0.0,0.0,0.0,UK,53.403,-0.332,120.0,0,94830.53,103983.3622084237,4077713.0,109020.15533923426,590806.94,0.89794064,0.8973224,0.9289108,0.051312766427939076,0.23186930259445968,0.6251540705630172,63095.7344480193
1092,7873,No,2008,2.0,10.0,4.3,0.0,0.0,4.3,0.0,0.0,0.0,0.0,BRAZIL,-3.7,-40.35,160.0,0,42011.406,27352.560657802678,504136.9,62795.606303029905,237293.05,0.7091658,0.70916575,0.7091658,0.07905694150664039,0.12327193565634441,0.32696130360769354,19952.62314968879
1093,7874,No,2008,3.0,10.0,4.5,0.0,0.0,4.5,0.0,0.0,0.0,0.0,INDIA,23.33,70.592,60.0,0,70574.6,73510.79344363206,776320.6,26724.1066658357,129691.23,0.7147077,0.7147077,0.7147077,0.05580322572865392,0.1203904751623303,0.3106174693468067,31622.776601683792
1094,7875,No,2008,3.0,10.0,7.2,7.2,7.3,6.3,0.0,0.0,0.0,0.0,CHINA,35.49,81.467,40.0,0,4522.374,4610.387964528153,452237.4,15399.757887840058,149311.44,0.68437606,0.70788234,0.7083121,0.3958396139892329,0.38602175741093103,1.373816338078406,15848931.924611142
1095,7876,No,2008,3.0,51.0,5.3,5.3,0.0,5.4,0.0,0.0,0.0,0.0,PERU,-12.178,-77.164,160.0,0,426479.53,186299.56471355056,11514948.0,1020083.1083254823,3721878.2,0.74,0.74,0.74,0.06580273551341524,0.25028390091414654,0.6337196831142664,199526.2314968879
1096,7877,No,1986,6.0,102.0,7.1,0.0,7.1,6.6,0.0,0.0,0.0,7.0,PAPUA NEW GUINEA,-4.448,143.943,170.0,0,17159.098,20112.8108055921,1715909.8,20658.109106029846,110467.13,0.516,0.51600003,0.516,0.09976472321401761,0.34951317836977863,0.9591481286858088,12589254.117941663
1097,7879,No,2008,5.0,9.0,5.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,COLOMBIA,4.33,-73.764,160.0,6,135891.12,91207.93477374321,13589113.0,405497.81559495814,2978873.5,0.727,0.727,0.727,0.1197747886620303,0.3339238173940924,0.9404445413395601,398107.1705534969
1098,7880,No,2008,5.0,10.0,6.3,6.3,6.2,6.0,0.0,0.0,0.0,0.0,ICELAND,64.004,-21.012,120.0,0,2851.6223,2122.477815434568,285162.22,11430.717823385183,83855.55,0.921,0.9210001,0.921,0.1655596569218684,0.43106033326559146,1.114053463351992,1995262.3149688789
1099,7881,No,2008,5.0,10.0,6.0,6.0,6.0,5.8,0.0,0.0,0.0,0.0,CHINA,32.57,105.424,30.0,8,88974.51,98674.94737205788,8897451.0,91275.53025110916,460356.88,0.69796884,0.70053124,0.73804635,0.07366138743649651,0.333928551549671,0.9400440443057038,1000000.0
1100,7907,No,2008,6.0,8.0,6.9,6.9,7.0,6.5,0.0,0.0,0.0,0.0,JAPAN,39.03,140.881,30.0,13,62727.69,57118.02382839333,6272769.0,79707.28687592188,502983.88,0.89024436,0.8916661,0.89947045,0.09518928511829318,0.3643255621872895,0.9678611552735128,7943282.347242822
1101,7925,No,2008,6.0,16.0,6.3,6.3,6.3,6.2,0.0,0.0,0.0,0.0,GREECE,37.963,21.525,130.0,2,17944.096,16690.474732440656,1794409.6,19764.587612747215,93515.84,0.847797,0.8487616,0.892091,0.13320660644708582,0.38411833751390445,1.0164780232586326,1995262.3149688789
1102,7971,Yes,2008,7.0,22.0,6.9,6.9,7.0,6.2,0.0,0.0,0.0,0.0,JAPAN,37.552,142.214,30.0,0,96455.07,99759.16905050394,9645507.0,105946.99631934622,503098.7,0.89339393,0.89470994,0.89985776,0.8217359673186264,0.4354264524315685,1.9376738028955487,7943282.347242822
1103,8120,No,2008,7.0,33.0,5.5,5.5,5.0,5.4,0.0,0.0,0.0,0.0,PERU,-10.368,-75.512,160.0,0,19711.375,22191.16563888189,985568.7,25509.190133692784,124788.72,0.74,0.74,0.74,0.11321660654873988,0.2389841499032229,0.6662933622461874,316227.7660168379
